Time,Open,High,Low,Close,Volume
04/14/2021 13:00:00,34.7209,35,34.2606,34.3972,3951.81
04/14/2021 14:00:00,34.3051,34.3586,33.0472,34.0328,16304.54
04/14/2021 15:00:00,33.9306,34.3922,33.7909,34.2647,3890.31
04/14/2021 16:00:00,34.1183,34.9658,33.997,34.9443,7658.37
04/14/2021 17:00:00,34.8227,34.9838,34.0109,34.1664,4101.24
04/14/2021 18:00:00,34.1949,35.0625,33.6799,34.7768,5946.51
04/14/2021 19:00:00,34.7768,34.873,34.0613,34.336,2888.07
04/14/2021 20:00:00,34.3711,34.7361,34.155,34.7361,1291.63
04/14/2021 21:00:00,34.6982,35.3353,34.6982,35.3117,4681.11
04/14/2021 22:00:00,35.3382,36.412,35.2257,36.1987,14462.46
04/14/2021 23:00:00,36.222,36.3957,35.7971,36.0301,8168.37
04/15/2021 00:00:00,36.1253,36.4999,35.7232,35.7232,7842.69
04/15/2021 01:00:00,35.7205,36.2908,35.588,36.2782,3740.78
04/15/2021 02:00:00,36.2908,36.9139,35.8986,36.8524,6038.03
04/15/2021 03:00:00,36.9157,38.5,36.9157,38.3832,19158.51
04/15/2021 04:00:00,38.4494,38.7597,37.615,37.7109,11709.94
04/15/2021 05:00:00,37.8397,38.0644,37.5449,38.0517,4309.88
04/15/2021 06:00:00,38.077,38.3706,37.5321,38.2316,2498.61
04/15/2021 07:00:00,38.2255,39,37.8086,38.0486,8007.64
04/15/2021 08:00:00,38.1393,38.2806,37.3263,37.6599,6504.72
04/15/2021 09:00:00,37.5473,37.8861,37.4659,37.8024,4033.28
04/15/2021 10:00:00,37.7407,37.825,36.8262,37.0661,3841.95
04/15/2021 11:00:00,36.9351,37.4733,36.5703,37.4733,3721.4
04/15/2021 12:00:00,37.4733,38.2788,37.4227,37.942,3921.42
04/15/2021 13:00:00,37.9932,39.5707,37.7279,39.0181,8196.72
04/15/2021 14:00:00,39.1155,39.39,38.6228,39.0214,6162.28
04/15/2021 15:00:00,39.0215,39.1003,38.2806,38.52,4259.2
04/15/2021 16:00:00,38.54,39.4887,38.1908,38.6867,10847.56
04/15/2021 17:00:00,38.6866,38.7328,38.0878,38.1376,1975.54
